id,percent_grade,date_joined,enroll_created_date,cert_status,in_analysis
a280509,0.6,09/09/2016 16:06,03/12/2018 16:57,Pass,1
a768063,1,03/12/2018 17:45,03/12/2018 17:45,Pass,1
a931946,0.84,03/13/2018 14:28,03/13/2018 14:28,Pass,1
a801536,0.97,03/13/2018 14:39,03/13/2018 14:39,Pass,1
a762070,0.98,03/13/2018 14:45,03/13/2018 14:45,Pass,1
a852549,0.93,03/13/2018 14:55,03/13/2018 14:55,Pass,1
a397161,0,03/13/2018 15:07,03/13/2018 15:07,,0
a562563,0.88,03/13/2018 15:10,03/13/2018 15:10,Pass,1
a870807,0.76,03/13/2018 15:14,03/13/2018 15:14,Pass,1
a174827,0.95,03/13/2018 15:18,03/13/2018 15:18,Pass,1
a613527,0.95,03/13/2018 15:21,03/13/2018 15:21,Pass,1
a818742,0.75,11/20/2017 19:41,03/13/2018 15:21,Pass,1
a485284,0.82,03/13/2018 15:39,03/13/2018 15:39,Pass,1
a468197,0.29,03/13/2018 15:59,03/13/2018 15:59,,1
a125925,0.89,03/13/2018 16:16,03/13/2018 16:16,Pass,1
a341512,0.62,03/13/2018 16:42,03/13/2018 16:42,Pass,1
a345618,0,03/13/2018 17:27,03/13/2018 17:27,,0
a760389,0.14,03/13/2018 17:44,03/13/2018 17:44,,1
a798047,1,03/13/2018 17:58,03/13/2018 17:58,Pass,1
a559832,0.65,09/07/2016 19:10,03/13/2018 18:44,Pass,1
a933110,0,03/08/2018 20:03,03/13/2018 18:57,,0
a298027,0.91,03/13/2018 19:06,03/13/2018 19:06,Pass,1
a742225,0.68,03/09/2018 20:12,03/13/2018 19:22,Pass,1
a149039,0.96,03/13/2018 19:27,03/13/2018 19:27,Pass,1
a981240,0.81,03/13/2018 19:32,03/13/2018 19:32,Pass,1
a394985,0.24,03/13/2018 20:39,03/13/2018 20:40,,1
a515153,0.84,03/13/2018 21:17,03/13/2018 21:17,Pass,1
a194423,0.99,03/13/2018 18:02,03/14/2018 00:16,Pass,1
a635294,0.97,08/18/2016 20:18,03/14/2018 12:58,Pass,1
a251220,0.15,03/14/2018 14:31,03/14/2018 14:31,,1
a684155,0.99,09/05/2017 20:46,03/14/2018 14:51,Pass,1
a515243,0.98,08/17/2016 16:46,03/14/2018 14:53,Pass,1
a329153,0.98,03/14/2018 15:09,03/14/2018 15:09,Pass,1
a162786,0.74,03/14/2018 15:12,03/14/2018 15:12,Pass,1
a269711,0.94,03/14/2018 15:50,03/14/2018 15:50,Pass,1
a721360,0.92,03/14/2018 16:08,03/14/2018 16:08,Pass,1
a171414,0.7,03/14/2018 16:47,03/14/2018 16:47,Pass,1
a582049,0.77,03/14/2018 17:01,03/14/2018 17:01,Pass,1
a815910,0.98,03/14/2018 17:57,03/14/2018 17:57,Pass,1
a386415,0.65,03/14/2018 18:14,03/14/2018 18:14,Pass,1
a568897,0.14,03/14/2018 19:21,03/14/2018 19:21,,1
a687395,0,02/12/2018 17:54,03/15/2018 02:52,,0
a588277,0,03/15/2018 03:47,03/15/2018 03:47,,0
a951227,0.7,03/15/2018 10:41,03/15/2018 10:41,Pass,1
a795042,0.62,09/13/2016 12:14,03/15/2018 12:31,Pass,1
a711382,0.79,03/15/2018 13:30,03/15/2018 13:30,Pass,1
a535022,0.64,03/15/2018 14:52,03/15/2018 14:52,Pass,1
a716130,0.98,03/15/2018 17:04,03/15/2018 17:04,Pass,1
a449909,0.96,03/15/2018 19:17,03/15/2018 19:17,Pass,1
a898244,0.96,11/12/2017 01:15,03/15/2018 19:18,Pass,1
a152956,0.9,03/15/2018 19:26,03/15/2018 19:26,Pass,1
a500246,0.62,08/07/2017 22:45,03/15/2018 19:26,Pass,1
a253955,0.61,03/15/2018 19:38,03/15/2018 19:38,Pass,1
a657072,0.98,03/15/2018 19:42,03/15/2018 19:42,Pass,1
a778255,0.99,03/15/2018 22:38,03/15/2018 22:38,Pass,1
a249578,0.96,03/15/2018 23:04,03/15/2018 23:04,Pass,1
a710711,0.97,08/10/2017 14:54,03/16/2018 13:14,Pass,1
a962637,0.81,03/16/2018 13:23,03/16/2018 13:23,Pass,1
a462500,0.95,12/08/2016 16:21,03/16/2018 13:48,Pass,1
a194198,0.85,03/16/2018 13:52,03/16/2018 13:52,Pass,1
a842374,0.98,03/16/2018 14:08,03/16/2018 14:08,Pass,1
a894616,0.96,03/16/2018 14:15,03/16/2018 14:15,Pass,1
a355770,0.91,03/16/2018 14:50,03/16/2018 14:50,Pass,1
a299603,0.96,03/16/2018 15:06,03/16/2018 15:06,Pass,1
a820378,0.98,03/09/2018 20:22,03/16/2018 15:32,Pass,1
a650594,0.93,03/16/2018 15:40,03/16/2018 15:40,Pass,1
a557238,0.76,03/16/2018 15:53,03/16/2018 15:53,Pass,1
a603643,1,03/16/2018 16:40,03/16/2018 16:40,Pass,1
a611910,0.67,03/16/2018 16:49,03/16/2018 16:49,Pass,1
a157453,0.84,03/16/2018 17:10,03/16/2018 17:10,Pass,1
a903097,0.95,03/16/2018 17:28,03/16/2018 17:28,Pass,1
a173198,0.83,03/16/2018 18:02,03/16/2018 18:02,Pass,1
a845246,0.97,03/16/2018 18:04,03/16/2018 18:04,Pass,1
a473003,0.83,03/16/2018 18:13,03/16/2018 18:13,Pass,1
a150796,0.98,03/16/2018 19:53,03/16/2018 19:53,Pass,1
a451551,0.2,03/16/2018 20:32,03/16/2018 20:32,,1
a689580,0.89,03/16/2018 20:43,03/16/2018 20:43,Pass,1
a331416,0.38,08/22/2017 04:46,03/17/2018 00:43,,1
a331684,0.78,09/22/2017 01:55,03/17/2018 01:25,Pass,1
a318973,0.95,07/21/2016 21:10,03/19/2018 01:52,Pass,1
a890304,0,03/19/2018 05:11,03/19/2018 05:11,,0
a751622,0.98,03/19/2018 08:29,03/19/2018 08:29,Pass,1
a668657,0.97,03/19/2018 12:47,03/19/2018 12:47,Pass,1
a756042,0.97,03/19/2018 14:05,03/19/2018 14:05,Pass,1
a932188,0.29,03/19/2018 14:07,03/19/2018 14:07,,1
a577033,0.96,03/19/2018 14:15,03/19/2018 14:15,Pass,1
a389720,0.8,03/19/2018 14:25,03/19/2018 14:27,Pass,1
a563791,0.94,03/19/2018 14:49,03/19/2018 14:49,Pass,1
a470203,0.96,03/19/2018 15:11,03/19/2018 15:11,Pass,1
a755309,0.97,03/19/2018 17:07,03/19/2018 17:07,Pass,1
a297819,0.61,03/19/2018 19:20,03/19/2018 19:20,Pass,1
a445090,0.84,03/19/2018 21:09,03/19/2018 21:09,Pass,1
a489814,0.87,03/19/2018 21:14,03/19/2018 21:14,Pass,1
a550906,0.45,03/19/2018 22:01,03/19/2018 22:01,,1
a181383,0.95,03/20/2018 08:32,03/20/2018 08:32,Pass,1
a480483,0.94,03/20/2018 10:43,03/20/2018 10:43,Pass,1
a765151,0.91,03/20/2018 11:33,03/20/2018 11:33,Pass,1
a862608,0,03/20/2018 13:23,03/20/2018 13:23,,0
a596084,0.68,03/20/2018 13:54,03/20/2018 13:54,Pass,1
a993847,0.76,09/12/2016 14:23,03/20/2018 14:00,Pass,1
a714593,0.98,08/21/2016 22:41,03/20/2018 14:52,Pass,1
a572523,0.83,08/31/2017 15:51,03/20/2018 14:57,Pass,1
a419809,0.81,08/16/2016 13:03,03/20/2018 14:59,Pass,1
a211649,0.67,03/20/2018 14:59,03/20/2018 14:59,Pass,1
a820888,0.96,03/20/2018 15:59,03/20/2018 15:59,Pass,1
a989276,0.93,03/20/2018 16:05,03/20/2018 16:05,Pass,1
a667600,0.81,03/20/2018 16:26,03/20/2018 16:26,Pass,1
a705050,0.89,03/20/2018 16:53,03/20/2018 16:53,Pass,1
a920285,0.9,03/20/2018 17:10,03/20/2018 17:10,Pass,1
a858138,0.96,03/20/2018 17:43,03/20/2018 17:43,Pass,1
a674160,0.87,03/20/2018 22:42,03/20/2018 22:44,Pass,1
a874686,0.95,03/21/2018 00:34,03/21/2018 00:34,Pass,1
a757778,0.93,09/09/2016 14:26,03/21/2018 01:45,Pass,1
a965175,0.94,07/22/2016 14:02,03/21/2018 01:47,Pass,1
a784632,0.95,07/21/2016 21:40,03/21/2018 02:04,Pass,1
a639694,0.96,03/21/2018 03:35,03/21/2018 03:35,Pass,1
a413885,0.98,03/21/2018 14:35,03/21/2018 14:35,Pass,1
a246145,0.96,03/21/2018 15:06,03/21/2018 15:06,Pass,1
a837840,0.67,03/21/2018 18:34,03/21/2018 18:34,Pass,1
a173853,0.7,03/13/2018 16:44,03/21/2018 19:40,Pass,1
a264374,0.69,03/21/2018 19:50,03/21/2018 19:50,Pass,1
a213523,0.97,07/21/2016 18:09,03/22/2018 13:22,Pass,1
a717742,0.99,03/22/2018 15:08,03/22/2018 15:08,Pass,1
a369492,0.98,08/23/2017 17:24,03/22/2018 15:26,Pass,1
a498781,0.82,03/22/2018 16:18,03/22/2018 16:18,Pass,1
a122196,0.97,03/22/2018 16:47,03/22/2018 16:47,Pass,1
a318472,0.94,03/22/2018 16:59,03/22/2018 16:59,Pass,1
a170015,0.08,03/22/2018 17:38,03/22/2018 17:38,,1
a289590,1,03/22/2018 19:21,03/22/2018 19:21,Pass,1
a153617,0.11,03/22/2018 23:01,03/22/2018 23:01,,1
a426333,0.99,03/23/2018 13:18,03/23/2018 13:18,Pass,1
a431011,0.63,08/26/2016 19:38,03/23/2018 13:35,Pass,1
a100932,0.98,08/21/2017 19:58,03/23/2018 14:03,Pass,1
a461353,0.65,03/22/2018 20:31,03/23/2018 14:36,Pass,1
a129973,0.99,03/23/2018 14:51,03/23/2018 14:51,Pass,1
a709562,0.24,10/21/2014 17:07,03/23/2018 14:52,,1
a530840,0.99,03/23/2018 16:11,03/23/2018 16:11,Pass,1
a966666,0.96,03/23/2018 16:14,03/23/2018 16:14,Pass,1
a912736,0.92,03/23/2018 16:55,03/23/2018 16:55,Pass,1
a988549,0.97,03/23/2018 17:19,03/23/2018 17:19,Pass,1
a536554,0.82,08/10/2017 21:45,03/23/2018 17:40,Pass,1
a250034,0.66,09/01/2016 14:08,03/23/2018 17:42,Pass,1
a158776,0.78,07/21/2016 21:51,03/23/2018 18:38,Pass,1
a665824,0.82,08/16/2017 16:59,03/23/2018 18:52,Pass,1
a711127,0.82,03/23/2018 20:35,03/23/2018 20:35,Pass,1
a797381,0.96,09/15/2014 17:04,03/25/2018 02:04,Pass,1
a130874,0.68,03/09/2017 18:41,03/25/2018 02:49,Pass,1
a166139,0.12,03/25/2018 12:23,03/25/2018 12:23,,1
a266176,0.99,08/25/2016 23:30,03/25/2018 19:28,Pass,1
a900051,0.93,02/11/2017 00:36,03/25/2018 19:38,Pass,1
a269483,0.98,03/25/2018 23:15,03/25/2018 23:15,Pass,1
a960722,0.98,03/25/2018 23:50,03/25/2018 23:50,Pass,1
a923229,0.92,10/04/2016 00:41,03/26/2018 13:42,Pass,1
a360774,0.86,03/26/2018 14:06,03/26/2018 14:06,Pass,1
a887708,0.96,03/26/2018 15:11,03/26/2018 15:11,Pass,1
a406162,0.93,03/26/2018 15:18,03/26/2018 15:18,Pass,1
a430481,0.27,03/26/2018 16:00,03/26/2018 16:00,,1
a850528,0.73,03/26/2018 16:29,03/26/2018 16:29,Pass,1
a151642,0.95,03/20/2018 19:35,03/26/2018 16:31,Pass,1
a163756,0.98,03/26/2018 17:32,03/26/2018 18:20,Pass,1
a723480,0.94,03/26/2018 19:18,03/26/2018 19:18,Pass,1
a229082,0.99,03/26/2018 19:30,03/26/2018 19:30,Pass,1
a875322,0.84,03/26/2018 19:39,03/26/2018 19:39,Pass,1
a996900,0.88,03/26/2018 19:40,03/26/2018 19:40,Pass,1
a565559,0.77,03/26/2018 13:37,03/26/2018 20:34,Pass,1
a470925,0.98,03/26/2018 21:14,03/26/2018 21:14,Pass,1
a889668,0.76,03/27/2018 06:15,03/27/2018 06:15,Pass,1
a263196,0.74,03/27/2018 14:57,03/27/2018 14:57,Pass,1
a775166,0.45,03/27/2018 15:21,03/27/2018 15:21,,1
a820070,0.69,03/27/2018 16:31,03/27/2018 16:31,Pass,1
a418840,0.97,03/27/2018 16:38,03/27/2018 16:38,Pass,1
a461611,0.76,03/27/2018 17:09,03/27/2018 17:09,Pass,1
a843093,0.78,03/27/2018 17:46,03/27/2018 17:46,Pass,1
a847233,0.97,10/22/2014 15:53,03/27/2018 18:11,Pass,1
a174428,0.98,03/27/2018 18:32,03/27/2018 18:32,Pass,1
a209857,0.71,03/27/2018 18:47,03/27/2018 18:47,Pass,1
a368400,0.63,03/27/2018 20:03,03/27/2018 20:03,Pass,1
a307203,0.96,09/12/2016 15:09,03/28/2018 14:15,Pass,1
a673922,0.63,03/28/2018 15:07,03/28/2018 15:07,Pass,1
a858630,0.99,03/28/2018 15:13,03/28/2018 15:13,Pass,1
a198939,0.89,08/17/2016 15:54,03/28/2018 16:08,Pass,1
a893329,0.96,09/08/2016 11:28,03/28/2018 16:50,Pass,1
a166462,0.94,08/04/2017 19:56,03/28/2018 16:52,Pass,1
a165264,0.69,03/28/2018 16:53,03/28/2018 16:53,Pass,1
a544695,0.84,03/28/2018 18:08,03/28/2018 18:08,Pass,1
a627085,0.89,08/24/2016 22:05,03/28/2018 18:37,Pass,1
a272620,0.68,03/28/2018 19:00,03/28/2018 19:00,Pass,1
a560495,0.66,03/28/2018 19:36,03/28/2018 19:36,Pass,1
a792448,0.89,03/29/2018 03:41,03/29/2018 03:41,Pass,1
a627042,0.48,08/12/2016 17:05,03/29/2018 13:51,,1
a198204,0.99,03/29/2018 14:11,03/29/2018 14:11,Pass,1
a905459,1,07/07/2015 01:16,03/29/2018 14:26,Pass,1
a729810,0,12/06/2017 16:26,03/29/2018 14:33,,0
a911185,0.69,08/17/2016 16:31,03/29/2018 15:39,Pass,1
a811341,0.98,03/29/2018 17:14,03/29/2018 17:14,Pass,1
a213442,0.9,07/21/2016 20:42,03/29/2018 17:54,Pass,1
a465601,0.96,03/29/2018 19:01,03/29/2018 19:01,Pass,1
a870947,0.93,01/21/2015 19:00,03/30/2018 13:31,Pass,1
a102526,0.37,07/27/2016 16:15,03/30/2018 13:34,,1
a992269,0.99,03/30/2018 13:50,03/30/2018 13:50,Pass,1
a871298,0.94,03/30/2018 14:43,03/30/2018 14:43,Pass,1
a412452,0.53,03/30/2018 15:59,03/30/2018 15:59,,1
a537503,1,03/30/2018 18:35,03/30/2018 18:35,Pass,1
a858850,0.83,03/30/2018 20:20,03/30/2018 20:20,Pass,1
a942243,0.77,03/30/2018 23:11,03/30/2018 23:11,Pass,1
a120852,0.64,04/01/2018 15:58,04/01/2018 15:58,Pass,1
a754993,0.94,04/02/2018 14:40,04/02/2018 14:40,Pass,1
a567155,0,09/08/2017 23:43,04/02/2018 16:34,,0
a175610,0.98,04/02/2018 17:30,04/02/2018 17:30,Pass,1
a897237,0,07/25/2016 16:11,04/02/2018 17:47,,0
a957928,1,04/02/2018 17:58,04/02/2018 17:58,Pass,1
a498310,0.69,04/02/2018 18:03,04/02/2018 18:03,Pass,1
a527336,0.92,07/29/2016 18:01,04/02/2018 18:47,Pass,1
a518162,0.97,04/02/2018 19:54,04/02/2018 19:54,Pass,1
a941514,0.94,03/09/2018 19:08,04/02/2018 20:04,Pass,1
a632284,0.99,04/03/2018 06:12,04/03/2018 06:12,Pass,1
a832988,0.96,04/03/2018 10:46,04/03/2018 10:46,Pass,1
a862146,0.99,04/03/2018 16:09,04/03/2018 16:09,Pass,1
a796027,0,04/03/2018 16:40,04/03/2018 16:40,,0
a627209,0.29,04/03/2018 17:05,04/03/2018 17:05,,1
a955224,0.8,03/19/2018 21:59,04/03/2018 17:06,Pass,1
a640130,0.79,04/03/2018 17:32,04/03/2018 17:32,Pass,1
a490284,0.66,04/03/2018 21:31,04/03/2018 21:31,Pass,1
a284515,0.92,04/04/2018 13:47,04/04/2018 13:47,Pass,1
a670147,0.91,04/04/2018 18:20,04/04/2018 18:20,Pass,1
a737722,0.67,04/04/2018 19:06,04/04/2018 19:06,Pass,1
a817236,0.16,08/20/2017 01:03,04/04/2018 20:32,,1
a584212,0.32,04/04/2018 20:52,04/04/2018 20:52,,1
a933340,0.99,04/05/2018 12:13,04/05/2018 12:13,Pass,1
a959793,0.66,04/05/2018 13:42,04/05/2018 13:42,Pass,1
a372336,0.95,04/05/2018 14:32,04/05/2018 14:32,Pass,1
a174415,0.95,04/05/2018 14:37,04/05/2018 14:37,Pass,1
a669682,0.68,09/15/2016 18:58,04/05/2018 14:48,Pass,1
a581433,0.24,08/30/2016 21:47,04/05/2018 16:38,,1
a380323,0.27,03/09/2018 18:20,04/05/2018 19:15,,1
a620540,0.96,03/26/2018 23:41,04/05/2018 19:19,Pass,1
a553278,0.91,04/05/2018 19:39,04/05/2018 19:39,Pass,1
a505928,0.94,04/06/2018 14:06,04/06/2018 14:06,Pass,1
a270390,0.15,04/06/2018 16:19,04/06/2018 16:19,,1
a641799,0.96,04/06/2018 16:24,04/06/2018 16:24,Pass,1
a947878,0.8,04/06/2018 16:54,04/06/2018 16:54,Pass,1
a569326,0.82,04/06/2018 17:12,04/06/2018 17:12,Pass,1
a764903,0.8,04/06/2018 17:30,04/06/2018 17:30,Pass,1
a386427,0.88,04/03/2018 19:02,04/06/2018 18:45,Pass,1
a747654,0.98,04/06/2018 21:09,04/06/2018 21:09,Pass,1
a978754,0.83,04/06/2018 21:45,04/06/2018 21:45,Pass,1
a811696,0,07/26/2017 19:29,04/07/2018 00:35,,0
a343384,0.98,04/07/2018 16:53,04/07/2018 16:53,Pass,1
a334094,0.76,12/11/2017 18:11,04/09/2018 13:37,Pass,1
a147751,0.79,08/18/2017 19:39,04/09/2018 13:47,Pass,1
a165403,0.78,04/09/2018 14:03,04/09/2018 14:03,Pass,1
a196777,0.8,04/09/2018 14:36,04/09/2018 14:36,Pass,1
a453544,0.99,04/09/2018 20:37,04/09/2018 20:37,Pass,1
a693807,0.79,08/12/2016 15:02,04/10/2018 14:52,Pass,1
a942044,0.76,03/09/2018 19:04,04/10/2018 20:16,Pass,1
a476750,0.27,04/10/2018 21:48,04/10/2018 21:48,,1
a725940,0.77,04/11/2018 12:25,04/11/2018 12:25,Pass,1
a676155,0.98,08/17/2016 17:41,04/11/2018 12:29,Pass,1
a950599,0.95,08/24/2016 15:24,04/11/2018 12:35,Pass,1
a624868,0.67,04/11/2018 12:50,04/11/2018 13:08,Pass,1
a874341,0.91,04/11/2018 16:20,04/11/2018 16:20,Pass,1
a305785,0.66,04/10/2018 17:53,04/11/2018 16:22,Pass,1
a278522,0.98,04/11/2018 16:39,04/11/2018 16:39,Pass,1
a645994,0.98,04/11/2018 17:05,04/11/2018 17:05,Pass,1
a491152,0.9,04/11/2018 17:07,04/11/2018 17:07,Pass,1
a597482,0.98,04/11/2018 17:24,04/11/2018 17:24,Pass,1
a340051,0.93,04/11/2018 17:37,04/11/2018 17:37,Pass,1
a401472,1,04/11/2018 18:31,04/11/2018 18:36,Pass,1
a308901,0.66,04/11/2018 19:11,04/11/2018 19:11,Pass,1
a124143,0.81,04/11/2018 19:16,04/11/2018 19:16,Pass,1
a400767,0.97,04/11/2018 20:07,04/11/2018 20:07,Pass,1
a548419,0.79,04/11/2018 20:12,04/11/2018 20:12,Pass,1
a714436,0.92,09/05/2017 16:10,04/11/2018 21:02,Pass,1
a825568,0.98,04/11/2018 21:17,04/11/2018 21:17,Pass,1
