source,target,exemplar
c076a6e427c34d0c99c5bb95cbce05e5,3de7431267b04318bd0e9501f80a019d,0
3de7431267b04318bd0e9501f80a019d,67aa56ef4f504d889c6068052bab302b,0
67aa56ef4f504d889c6068052bab302b,353e3386c40d443197f8dd7cd454bf27,0
353e3386c40d443197f8dd7cd454bf27,334c250757224648b03c5fcdc8ab25b4,0
334c250757224648b03c5fcdc8ab25b4,35fb6234757c420ea8007b976a49044a,0
35fb6234757c420ea8007b976a49044a,632447fdff6840a3a11237aa514d7e68,0
632447fdff6840a3a11237aa514d7e68,48f524e499d548ea91963ba7ab8ad845,0
48f524e499d548ea91963ba7ab8ad845,e1d55c63a2bd4a79aca5c750cc7a6c97,0
e1d55c63a2bd4a79aca5c750cc7a6c97,bd441ccd067547a89407ec54fa626f06,0
bd441ccd067547a89407ec54fa626f06,f7874e47588041b697e73ba41e6e407c,0
f7874e47588041b697e73ba41e6e407c,26772bf1f08f4f96ab44e6007c4c6976,0
26772bf1f08f4f96ab44e6007c4c6976,632447fdff6840a3a11237aa514d7e68,0
632447fdff6840a3a11237aa514d7e68,9b0b3df2c14144d49b56a90c54cb748a,0
9b0b3df2c14144d49b56a90c54cb748a,b44d071a81c142198d7e7ca14f5442f6,0
b44d071a81c142198d7e7ca14f5442f6,2a3d8b5f6991442cbf17871398487920,0
2a3d8b5f6991442cbf17871398487920,6b640336506d4155b1388785aab42fca,0
6b640336506d4155b1388785aab42fca,89f61d355af44e16ac1f9654029f89e0,0
89f61d355af44e16ac1f9654029f89e0,c076a6e427c34d0c99c5bb95cbce05e5,0
c076a6e427c34d0c99c5bb95cbce05e5,5b303a0f1b8c4aa4be49f74f2fc89c9e,0
5b303a0f1b8c4aa4be49f74f2fc89c9e,b47999fa192a4c07897ef0655c1f458f,0
b47999fa192a4c07897ef0655c1f458f,4278a11746804def8e613a8a8da29a7c,0
4278a11746804def8e613a8a8da29a7c,deead91c4b084361847e1f6596966bb8,0
deead91c4b084361847e1f6596966bb8,6bcb17967bcb4df9bfc7914614ea438d,0
6bcb17967bcb4df9bfc7914614ea438d,c1cffbf051a6419bb88a3efe70810c03,0
c1cffbf051a6419bb88a3efe70810c03,deb6f01c4aee459aba4573c30370cd9f,0
deb6f01c4aee459aba4573c30370cd9f,712de1d8f0494088af25f2d8990ed903,0
712de1d8f0494088af25f2d8990ed903,bcfaf0a85a4c4bb1b5f38a5334a89bc7,0
bcfaf0a85a4c4bb1b5f38a5334a89bc7,70ce3c11df2441369632b5e4c33440b2,0
70ce3c11df2441369632b5e4c33440b2,631404452a894b47949846af85b65a75,0
631404452a894b47949846af85b65a75,deead91c4b084361847e1f6596966bb8,0
deead91c4b084361847e1f6596966bb8,8a10cc79e71240fbbaef15137c988bf5,0
8a10cc79e71240fbbaef15137c988bf5,2bbb47defdd44b6e95be6aff50d550d1,0
2bbb47defdd44b6e95be6aff50d550d1,8a10cc79e71240fbbaef15137c988bf5,0
8a10cc79e71240fbbaef15137c988bf5,d6f5e62f53b24133ad80b6ae4fbb1c67,0
d6f5e62f53b24133ad80b6ae4fbb1c67,0cd55e8d087d4dd7b4abe0c9eeb53ee9,0
0cd55e8d087d4dd7b4abe0c9eeb53ee9,43334af9e23541758eae3f163f0233ca,0
43334af9e23541758eae3f163f0233ca,0552f7dc52d14cf5b15daed9c4229342,0
0552f7dc52d14cf5b15daed9c4229342,151ff258d4a74e6dbe9efde0ce31b457,0
151ff258d4a74e6dbe9efde0ce31b457,c1e3057887ae4756b3983ee71103080a,0
c1e3057887ae4756b3983ee71103080a,4ddee52f520141a192396264e12e939c,0
4ddee52f520141a192396264e12e939c,2a07f16983744ee4b619e6822558732e,0
2a07f16983744ee4b619e6822558732e,3b80b63e802243169ed3dc0ceba87a81,0
3b80b63e802243169ed3dc0ceba87a81,750c556f3cae4c2db33e983c7c72db60,0
750c556f3cae4c2db33e983c7c72db60,c1e3057887ae4756b3983ee71103080a,0
c1e3057887ae4756b3983ee71103080a,aedac84ad12f487db1c88dbe3c82abde,0
aedac84ad12f487db1c88dbe3c82abde,44a09f185c624f388d29e488f28999d2,0
44a09f185c624f388d29e488f28999d2,8c70a939146b49cd91d826eaa1b1aaf8,0
8c70a939146b49cd91d826eaa1b1aaf8,0fc9573794ea433ca88f5be6758b560e,0
0fc9573794ea433ca88f5be6758b560e,cfc8fb9e455e4fc592f63e75803bc5e9,0
cfc8fb9e455e4fc592f63e75803bc5e9,0fc9573794ea433ca88f5be6758b560e,0
0fc9573794ea433ca88f5be6758b560e,0cd55e8d087d4dd7b4abe0c9eeb53ee9,0
0cd55e8d087d4dd7b4abe0c9eeb53ee9,43334af9e23541758eae3f163f0233ca,0
43334af9e23541758eae3f163f0233ca,0552f7dc52d14cf5b15daed9c4229342,0
0552f7dc52d14cf5b15daed9c4229342,151ff258d4a74e6dbe9efde0ce31b457,0
151ff258d4a74e6dbe9efde0ce31b457,c1e3057887ae4756b3983ee71103080a,0
c1e3057887ae4756b3983ee71103080a,aedac84ad12f487db1c88dbe3c82abde,0
aedac84ad12f487db1c88dbe3c82abde,c1e3057887ae4756b3983ee71103080a,0
c1e3057887ae4756b3983ee71103080a,cfc8fb9e455e4fc592f63e75803bc5e9,0
cfc8fb9e455e4fc592f63e75803bc5e9,4454aaa65b6d49ca89add710ba15514e,0
4454aaa65b6d49ca89add710ba15514e,b417ce5230004e449eb68bbbca8930d9,0
b417ce5230004e449eb68bbbca8930d9,519a3ce144b042f09bc9f27f33267c71,0
