cluster id,user id
2,18375933
4,18376104
0,18376129
3,18376135
5,18376194
5,18376204
1,18376205
2,18376236
6,18376469
6,18376519
2,18376552
4,18376627
1,18376697
3,18376825
2,18377170
3,18377584
6,18377873
4,18377939
1,18378898
6,18383020
4,18384018
3,18384100
4,18384504
5,18385504
5,18385516
8,18385525
0,18385779
6,18385834
2,18385886
1,18385931
5,18386029
6,18386388
1,18386609
8,18386680
5,18386696
0,18386858
2,18386894
5,18386985
0,18386988
3,18387041
3,18387044
5,18387152
9,18387450
0,18387731
2,18388026
0,18388043
4,18388132
2,18388204
2,18388242
6,18388373
2,18388501
2,18388550
4,18388556
6,18388791
4,18389088
4,18389115
5,18389132
2,18389184
6,18389188
5,18389233
5,18389274
5,18389278
9,18389629
3,18389825
5,18390042
4,18390208
5,18390312
0,18390967
4,18411474
4,18417395
4,18419493
6,18419739
2,18420160
5,18420381
6,18420470
9,18420528
4,18420725
7,18421253
2,18421831
4,18421884
5,18422200
2,18422416
0,18424355
5,18436509
5,18437192
6,18437368
4,18437452
4,18437611
4,18437843
2,18437926
5,18437996
5,18438042
9,18438302
3,18438322
2,18438624
2,18438884
3,18439246
3,18439270
3,18440079
0,18440228
6,18440284
5,18441054
5,18441299
4,18441357
2,18442087
1,18442450
0,18451841
3,18452827
6,18453381
2,18453428
2,18453996
4,18454266
2,18454791
9,18454973
5,18455745
5,18456025
3,18456949
4,18465582
3,18467701
5,18467783
2,18468938
9,18470777
2,18472381
6,18472493
9,18472607
4,18472654
1,18472712
2,18472843
3,18473204
4,18474312
5,18474520
5,18481596
7,18481949
6,18482028
0,18482136
5,18482170
5,18482218
7,18482629
5,18482817
5,18483297
6,18483302
0,18483469
3,18483590
0,18483645
2,18484020
5,18484121
2,18484299
4,18484335
2,18484356
6,18484560
7,18484905
2,18484941
5,18484969
1,18485061
5,18486001
3,18486308
4,18486397
0,18512154
2,18515144
5,18515735
4,18516215
3,18516241
4,18516352
0,18516517
0,18516855
0,18517176
0,18518027
4,18518857
9,18520514
3,18521736
2,18521783
5,18522202
9,18522218
4,18524814
5,18527509
2,18529047
0,18529597
1,18531357
8,18532301
5,18533066
9,18533158
4,18533213
7,18533503
2,18533861
0,18533915
2,18534163
4,18534594
5,18535949
7,18537745
5,18538568
0,18540066
1,18546317
4,18546961
2,18547435
5,18547483
2,18547727
6,18548268
9,18550396
1,18551314
4,18551628
6,18561687
5,18562513
5,18563151
6,18563219
2,18563628
5,18563800
3,18564310
2,18565506
2,18566251
3,18567645
7,18574547
8,18574745
5,18575712
5,18575905
9,18575932
4,18576176
4,18576610
6,18576641
6,18577097
5,18577371
5,18577952
9,18579177
5,18580144
3,18594000
0,18599224
4,18599419
6,18606838
5,18607275
5,18608199
4,18608307
5,18608362
2,18608901
1,18609276
4,18610138
0,18611437
7,18611602
2,18611707
2,18611719
6,18612733
0,18613919
1,18617300
1,18623168
3,18623509
4,18624449
5,18624549
4,18624928
1,18625361
6,18625702
5,18625908
3,18626067
3,18626875
5,18637595
6,18637678
0,18638629
0,18638876
6,18639690
2,18640208
3,18640583
4,18644349
5,18649659
4,18651689
2,18652836
4,18654412
6,18661832
3,18662098
6,18662461
5,18663333
0,18663578
6,18664841
0,18665741
4,18666874
1,18682190
5,18694006
2,18694308
4,18696981
6,18697574
5,18697692
5,18698103
6,18700453
1,18700941
6,18708913
6,18712663
5,18720247
3,18721428
1,18721980
5,18723939
7,18726731
4,18738895
5,18743448
0,18744282
2,18745864
0,18754931
3,18756288
5,18756565
5,18757165
6,18757249
0,18761610
3,18764163
5,18773221
5,18773827
2,18774536
3,18775230
5,18775310
0,18775737
7,18776020
4,18776262
5,18776475
4,18776893
5,18778603
2,18778908
5,18787230
2,18810731
5,18811317
5,18817151
2,18818686
0,18831380
2,18831451
3,18832490
2,18834407
2,18835113
6,18843370
2,18843672
7,18845186
4,18846634
5,18846930
5,18847286
9,18847303
4,18847531
0,18847700
0,18848361
0,18848857
8,18848928
9,18849497
2,18849550
4,18850178
6,18851395
3,18851897
4,18854611
3,18858639
5,18859152
6,18859392
2,18860551
4,18861727
5,18861915
6,18862024
2,18862114
5,18862234
2,18862407
5,18862426
2,18862760
5,18862982
