id,percent_grade,date_joined,enroll_created_date,cert_status,certGrp
22854633,0.08,3/8/2019 12:42,3/8/2019 12:43,,Not certified (> 65% Grade)
22854679,0.2,3/8/2019 12:49,3/8/2019 12:49,,Not certified (> 65% Grade)
22854891,0.6,3/8/2019 13:14,3/8/2019 13:16,,Not certified (> 65% Grade)
22854917,0.4,3/8/2019 13:17,3/8/2019 13:17,,Not certified (> 65% Grade)
22854969,0.32,3/8/2019 13:24,3/8/2019 13:26,,Not certified (> 65% Grade)
22855013,0.55,3/8/2019 13:28,3/8/2019 13:29,,Not certified (> 65% Grade)
22855139,0.62,3/8/2019 13:41,3/8/2019 13:42,,Not certified (> 65% Grade)
22855176,0.62,3/8/2019 13:44,3/8/2019 13:45,,Not certified (> 65% Grade)
22855182,0.67,3/8/2019 13:44,3/8/2019 13:45,Pass,Certified (< 65% Grade)
22855186,0.29,3/8/2019 13:44,3/8/2019 13:45,,Not certified (> 65% Grade)
22855232,0.67,3/8/2019 13:49,3/8/2019 13:49,Pass,Certified (< 65% Grade)
22855361,0.54,3/8/2019 14:00,3/8/2019 14:05,,Not certified (> 65% Grade)
22855366,0.37,3/8/2019 14:01,3/8/2019 14:07,,Not certified (> 65% Grade)
22855438,0.59,3/8/2019 14:10,3/8/2019 14:11,,Not certified (> 65% Grade)
22855491,0.32,3/8/2019 14:17,3/8/2019 14:17,,Not certified (> 65% Grade)
22855511,0.32,3/8/2019 14:18,3/8/2019 14:19,,Not certified (> 65% Grade)
22855575,0.38,3/8/2019 14:26,3/8/2019 14:28,,Not certified (> 65% Grade)
22855392,0.69,3/8/2019 14:05,3/8/2019 14:33,Pass,Certified (< 65% Grade)
22855626,0,3/8/2019 14:30,3/8/2019 14:36,,Not certified (> 65% Grade)
22855679,0.4,3/8/2019 14:34,3/8/2019 14:37,,Not certified (> 65% Grade)
22855678,0.47,3/8/2019 14:34,3/8/2019 14:38,,Not certified (> 65% Grade)
22855693,0.14,3/8/2019 14:36,3/8/2019 14:38,,Not certified (> 65% Grade)
22855577,0.3,3/8/2019 14:26,3/8/2019 14:40,,Not certified (> 65% Grade)
22855683,0.02,3/8/2019 14:35,3/8/2019 14:41,,Not certified (> 65% Grade)
22855757,0.39,3/8/2019 14:42,3/8/2019 14:43,,Not certified (> 65% Grade)
11817705,0.29,9/2/2016 21:28,3/8/2019 14:45,,Not certified (> 65% Grade)
22855791,0.25,3/8/2019 14:45,3/8/2019 14:46,,Not certified (> 65% Grade)
22856019,0.45,3/8/2019 15:08,3/8/2019 15:09,,Not certified (> 65% Grade)
22856177,0.31,3/8/2019 15:20,3/8/2019 15:21,,Not certified (> 65% Grade)
