"from","to","stds","weight","dis","sl"
"0380cd76a7d44bc3a4da1f15e4d68f89","23b7673c8b5443108c2ef09382834a86",187,327,1,0
"0380cd76a7d44bc3a4da1f15e4d68f89","24cf8786024543f19b89bc20034e60d7",4,4,-12,0
"0380cd76a7d44bc3a4da1f15e4d68f89","3cbcea2be0984e7dbd5a48195af10ce7",1,1,-275,0
"0380cd76a7d44bc3a4da1f15e4d68f89","4660ff2089114e8db82ceb26a4f329e3",3,3,5,0
"0380cd76a7d44bc3a4da1f15e4d68f89","4a29443515bb404cb8924e1c60a63b73",1,1,-155,0
"0380cd76a7d44bc3a4da1f15e4d68f89","66ada10dde9f43018588f1ced9d477fc",1,1,-6,0
"0380cd76a7d44bc3a4da1f15e4d68f89","66baf19b6b904b70922329068c63746d",10,11,-64,0
"0380cd76a7d44bc3a4da1f15e4d68f89","7bd5586eb9d8484eb74a433ee7bfe499",2,2,6,0
"0380cd76a7d44bc3a4da1f15e4d68f89","8a7f26e690f34dda97be16904518ca99",1,2,7,0
"0380cd76a7d44bc3a4da1f15e4d68f89","901e92500aea43c79f19f1b279050668",8,8,2,0
"0380cd76a7d44bc3a4da1f15e4d68f89","b2f0d654738f48158edff28e8d3a546e",3,3,9,0
"0380cd76a7d44bc3a4da1f15e4d68f89","b71bac264efb4abd97015447bd490db6",1,1,-70,0
"0380cd76a7d44bc3a4da1f15e4d68f89","bec48fc2e1294c7eb3d0aca780d731b8",1,1,-20,0
"0380cd76a7d44bc3a4da1f15e4d68f89","d6d02b6ef04e4f17805504500b8ce441",1,1,-65,0
"0380cd76a7d44bc3a4da1f15e4d68f89","f67fbf45a5f146ed866965bc57c7c001",1,1,14,0
"061c175cc90f45fbad883025394e78dd","061c175cc90f45fbad883025394e78dd",185,708,0,1
"061c175cc90f45fbad883025394e78dd","24cf8786024543f19b89bc20034e60d7",2,2,-5,0
"061c175cc90f45fbad883025394e78dd","66baf19b6b904b70922329068c63746d",1,1,-57,0
"061c175cc90f45fbad883025394e78dd","9b9d0a249052413c869753b99682b0ac",7,8,-1,0
"061c175cc90f45fbad883025394e78dd","dce46f8904594a62a6377a3587aaa663",177,188,-2,0
"0680571d4698477995e41842c36a54b2","0680571d4698477995e41842c36a54b2",236,323,0,1
"0680571d4698477995e41842c36a54b2","531db53f81f646edb0cdcfe0085b03b7",1,1,-6,0
"0680571d4698477995e41842c36a54b2","56586aa865414f538729c7f7735d2bc6",17,17,2,0
"0680571d4698477995e41842c36a54b2","66b5e16f4f75454fb5b8172079f0fa83",17,17,-1,0
"0680571d4698477995e41842c36a54b2","9112f2bffece48e08c6d2287be204085",207,213,1,0
"0680571d4698477995e41842c36a54b2","dd5cf0b9fe4c4f1d8f5ff8e4c04879cb",2,2,-3,0
"0680571d4698477995e41842c36a54b2","e2911e79efc2420eac45d9f671463d4b",18,19,-8,0
"0680571d4698477995e41842c36a54b2","f96261861edc426abe2248be4f0a709a",5,5,-2,0
"06882a8492d9499aa31555567f575ecb","06882a8492d9499aa31555567f575ecb",213,240,0,1
"06882a8492d9499aa31555567f575ecb","cc4ddef5bbbe48ebb605141b347c4ed1",3,3,2,0
"06882a8492d9499aa31555567f575ecb","d313cec988a84645bee413e8d4724a4b",2,2,4,0
"06882a8492d9499aa31555567f575ecb","f03480cf4eba413194d7af52fc0e7f28",3,3,-2,0
"06882a8492d9499aa31555567f575ecb","f293c508f409466a8f27ddd7d1e40b20",209,213,1,0
"070600601c4c439288445d2f0724807d","0380cd76a7d44bc3a4da1f15e4d68f89",186,287,3,0
"070600601c4c439288445d2f0724807d","061c175cc90f45fbad883025394e78dd",1,1,-4,0
"070600601c4c439288445d2f0724807d","070600601c4c439288445d2f0724807d",56,79,0,1
"070600601c4c439288445d2f0724807d","0c7262dff33c4087bc660ccf40f92f9c",1,1,-268,0
"070600601c4c439288445d2f0724807d","1823b6de7d334a7aaabc4570719af4d9",153,275,2,0
"070600601c4c439288445d2f0724807d","1b4550d0dab04078b3bf08a655345bdc",1,1,-64,0
"070600601c4c439288445d2f0724807d","23b7673c8b5443108c2ef09382834a86",25,30,4,0
"070600601c4c439288445d2f0724807d","24cf8786024543f19b89bc20034e60d7",100,122,-9,0
