id,courseID,mod_type,order,chapterModLabel,stds,count,x,y
b6f8a98476224da1b40e555ececc7ed8,MITxPRO+LASERxB1+1T2019,problem,55,Week 1: Strategy (2.5 hrs),33,117,-1503.2716f,2346.391f
86e22cb5fe0e4b47a9489ecddf7ed78f,MITxPRO+LASERxB1+1T2019,problem,56,Week 1: Strategy (2.5 hrs),33,112,-1603.4957f,2375.458f
12aa6e1672ac4e7aa6449a7a8609cd72,MITxPRO+LASERxB1+1T2019,html,57,Week 1: Strategy (2.5 hrs),34,69,-2116.4795f,2144.7341f
a1f2f12debe5432fb7a70bcd12bacfb9,MITxPRO+LASERxB1+1T2019,drag-and-drop-v2,58,Week 1: Strategy (2.5 hrs),34,780,-1880.6107f,2432.7615f
78f30e4dcac84e3cbea8b2cc6e0d62b3,MITxPRO+LASERxB1+1T2019,drag-and-drop-v2,59,Week 1: Strategy (2.5 hrs),34,491,-1942.2825f,2249.299f
309ccf3cc4fe429d9bfbaef53d3fa479,MITxPRO+LASERxB1+1T2019,html,60,Week 1: Strategy (2.5 hrs),34,69,-2147.3142f,1767.7023f
4c943503763e4e349906eea3ed3c8e86,MITxPRO+LASERxB1+1T2019,problem,61,Week 1: Strategy (2.5 hrs),34,77,-2175.713f,1905.6139f
bee9f506f4a845b0bc68b6b1caee58a2,MITxPRO+LASERxB1+1T2019,html,62,Week 1: Strategy (2.5 hrs),0,0,574.2684f,352.04904f
bc42d26810654ea9a1df1efe1e58c7d5,MITxPRO+LASERxB1+1T2019,survey,63,Week 1: Strategy (2.5 hrs),34,226,-2096.5308f,1996.4136f
a0a418b8540d479fa6e0f653b701da8b,MITxPRO+LASERxB1+1T2019,survey,64,Week 1: Strategy (2.5 hrs),34,214,-2233.1804f,2025.8232f
7af822066add4e7f8e007e4eee31a8bf,MITxPRO+LASERxB1+1T2019,html,65,Week 1: Strategy (2.5 hrs),6,17,-1988.336f,1705.4803f
0c9dea3b3a84482fbc9ce8487ef5ae94,MITxPRO+LASERxB1+1T2019,html,66,Week 1: Strategy (2.5 hrs),0,0,-461.78482f,975.55457f
d646286c8051419bbc2e31dd1db55ca8,MITxPRO+LASERxB1+1T2019,html,67,Week 1: Strategy (2.5 hrs),34,244,-2199.85f,1017.7771f
5ae019b6b8404464a9b33b495b971f1d,MITxPRO+LASERxB1+1T2019,html,68,Week 1: Strategy (2.5 hrs),0,0,254.88158f,215.65681f
b78502985aa44be295c7f910dbf6d461,MITxPRO+LASERxB1+1T2019,html,69,Week 1: Strategy (2.5 hrs),0,0,-1229.0734f,-472.09467f
12c07ec131f6403eaff4fe6e306f3630,MITxPRO+LASERxB1+1T2019,html,70,Week 1: Strategy (2.5 hrs),0,0,125.90709f,174.69656f
267f883678b24aed855fde42524975d9,MITxPRO+LASERxB1+1T2019,problem,71,Week 1: Strategy (2.5 hrs),33,78,-2346.1875f,1028.8207f
88fff56d0342490dbef9040750a20f6c,MITxPRO+LASERxB1+1T2019,problem,72,Week 1: Strategy (2.5 hrs),33,79,-2397.8296f,1091.7809f
adb17b12b66c4a49a85fd34322f7df70,MITxPRO+LASERxB1+1T2019,problem,73,Week 1: Strategy (2.5 hrs),33,72,-2334.0571f,1139.9713f
140d5b27b8574befad82c0a013b59dfa,MITxPRO+LASERxB1+1T2019,html,74,Week 1: Strategy (2.5 hrs),34,59,-2701.6414f,1109.811f
a2becd407db34b189200a32546d9d569,MITxPRO+LASERxB1+1T2019,video,75,Week 1: Strategy (2.5 hrs),34,205,-2435.7585f,1228.5718f
190fc0dbe34c41668fe10597f5802ed4,MITxPRO+LASERxB1+1T2019,html,76,Week 1: Strategy (2.5 hrs),0,0,-1215.4374f,-564.4239f
58c22b011d0f4c2ea6d13615edbb9eeb,MITxPRO+LASERxB1+1T2019,problem,77,Week 1: Strategy (2.5 hrs),33,191,-2575.0015f,1321.5616f
dd76e1861dc9461c830888729d091ee0,MITxPRO+LASERxB1+1T2019,problem,78,Week 1: Strategy (2.5 hrs),33,240,-2689.5078f,1372.6049f
cd1d828f1a694b87913a7ea66c23803e,MITxPRO+LASERxB1+1T2019,problem,79,Week 1: Strategy (2.5 hrs),33,118,-2809.0105f,1375.3275f
9176a3c2b4d2465fa8b0c67096c2a97e,MITxPRO+LASERxB1+1T2019,problem,80,Week 1: Strategy (2.5 hrs),32,274,-2886.5457f,1277.8954f
f8ec6445f7194e25b9101d4fbcb07a18,MITxPRO+LASERxB1+1T2019,problem,81,Week 1: Strategy (2.5 hrs),33,122,-2813.8513f,1177.7775f
d18a9ea32855445f8736581f5cb119ce,MITxPRO+LASERxB1+1T2019,html,82,Week 1: Strategy (2.5 hrs),34,63,-2672.947f,993.60547f
38376f961ebc414db8f3b8f244f6d5ed,MITxPRO+LASERxB1+1T2019,html,83,Week 1: Strategy (2.5 hrs),0,0,-1167.815f,-628.5986f
ae5ac430ea254e708a6f5deaaf7464ae,MITxPRO+LASERxB1+1T2019,html,84,Week 1: Strategy (2.5 hrs),34,76,-2483.2065f,801.575f
f564483cbd7a407681aa2fcca518cf5f,MITxPRO+LASERxB1+1T2019,problem,85,Week 1: Strategy (2.5 hrs),34,150,-2705.1719f,880.7163f
18fd01350bd5434ca636d59a599d768a,MITxPRO+LASERxB1+1T2019,problem,86,Week 1: Strategy (2.5 hrs),34,315,-2619.1782f,783.3771f
42fb58708eaf4e5daa82bfca61b6f5fd,MITxPRO+LASERxB1+1T2019,html,87,Week 1: Strategy (2.5 hrs),11,19,-2575.7954f,1569.3362f
c681290961c94c4caf23b529d1ae6b9a,MITxPRO+LASERxB1+1T2019,problem,88,Week 1: Strategy (2.5 hrs),34,81,-2299.2847f,696.8638f
515683b5ec554c5b816324fc98691834,MITxPRO+LASERxB1+1T2019,html,89,Week 1: Strategy (2.5 hrs),0,0,561.99176f,302.3471f
6a9f0ef185fb47f0937e29daa1c71ed5,MITxPRO+LASERxB1+1T2019,poll,90,Week 1: Strategy (2.5 hrs),34,274,-2356.809f,792.65045f
e20db35ced8544ddac5bc3839145e463,MITxPRO+LASERxB1+1T2019,html,91,Week 1: Strategy (2.5 hrs),34,302,-2431.4124f,25.896494f
c2a008e1e5ca4287bd8ecea2932360aa,MITxPRO+LASERxB1+1T2019,html,92,Week 1: Strategy (2.5 hrs),0,0,-983.7118f,-923.97565f
231c15562ab8497daeb55e56acf3b35c,MITxPRO+LASERxB1+1T2019,html,93,Week 1: Strategy (2.5 hrs),0,0,-1891.8033f,-48.972626f
1febb706d7a34005ae8711ed49c76e64,MITxPRO+LASERxB1+1T2019,problem,94,Week 1: Strategy (2.5 hrs),34,131,-2125.6821f,157.82066f
8f73ba6f5a0042f2850356ac38ac6f24,MITxPRO+LASERxB1+1T2019,problem,95,Week 1: Strategy (2.5 hrs),33,190,-2022.6315f,205.82704f
e2260b86653c46d7b14a41fb419dbf8c,MITxPRO+LASERxB1+1T2019,problem,96,Week 1: Strategy (2.5 hrs),33,110,-2009.343f,316.17413f
35eb641ad1d845bbba54915bce75a962,MITxPRO+LASERxB1+1T2019,problem,97,Week 1: Strategy (2.5 hrs),33,169,-2106.5137f,370.65744f
08be90ffbeea4795a138cd42ed8db56f,MITxPRO+LASERxB1+1T2019,problem,98,Week 1: Strategy (2.5 hrs),34,202,-2224.4783f,350.80508f
3007433c8f584dcbb5ac159c1c5f2be3,MITxPRO+LASERxB1+1T2019,problem,99,Week 1: Strategy (2.5 hrs),33,170,-2330.5789f,289.5136f
73039f8c1eb9409cb4caee2cf968001e,MITxPRO+LASERxB1+1T2019,html,100,Week 1: Strategy (2.5 hrs),34,81,-3030.3147f,67.11418f
00ae5f0c51874a73a41ebea838d95682,MITxPRO+LASERxB1+1T2019,video,101,Week 1: Strategy (2.5 hrs),34,190,-2638.2598f,173.38539f
b38af1a65bd14ea886d608e701505bcf,MITxPRO+LASERxB1+1T2019,html,102,Week 1: Strategy (2.5 hrs),0,0,-1798.3878f,82.294556f
d391c8b6e56a43a7b654e9dee02d904b,MITxPRO+LASERxB1+1T2019,drag-and-drop-v2,103,Week 1: Strategy (2.5 hrs),34,687,-2797.872f,248.95619f
6111116566fc4fd9abba409322bea245,MITxPRO+LASERxB1+1T2019,problem,104,Week 1: Strategy (2.5 hrs),33,120,-2967.2808f,350.99268f
a81b2235cb9c499eb9ea8ee0a8dd9725,MITxPRO+LASERxB1+1T2019,problem,105,Week 1: Strategy (2.5 hrs),32,142,-3077.5723f,370.32953f
